month,cron,dateCreation,dateUpdate
1,0 0 3 * * *,2022-10-18 10:00:00,2022-10-18 10:00:00
2,* * 4 * * *,2022-10-18 10:00:00,2022-10-18 10:00:00
3,* * 5 * * *,2022-10-18 10:00:00,2022-10-18 10:00:00
4,* * 6 * * *,2022-10-18 10:00:00,2022-10-18 10:00:00
5,* * 7 * * *,2022-10-18 10:00:00,2022-10-18 10:00:00
6,* * 8 * * *,2022-10-18 10:00:00,2022-10-18 10:00:00
7,* * 9 * * *,2022-10-18 10:00:00,2022-10-18 10:00:00
8,* * 10 * * *,2022-10-18 10:00:00,2022-10-18 10:00:00
9,* * 11 * * *,2022-10-18 10:00:00,2022-10-18 10:00:00
10,* * 12 * * *,2022-10-18 10:00:00,2022-10-18 10:00:00
11,* * 13 * * *,2022-10-18 10:00:00,2022-10-18 10:00:00
12,* * 14 * * *,2022-10-18 10:00:00,2022-10-18 10:00:00
